

6	lá perto do hospital Ouro Verde	00:00:18.449	00:00:20.423	00:00:01.974	
7	isso na chácara	00:00:22.090	00:00:23.211	00:00:01.121	
8	ai eh uns quinze	00:00:25.108	00:00:26.761	00:00:01.653	
9	não	00:00:31.674	00:00:32.159	00:00:00.485	
10	não	00:00:32.441	00:00:32.685	00:00:00.244	
11	vim morar com a minha mãe	00:00:35.352	00:00:36.474	00:00:01.122	


	
21	eu amo	00:01:06.249	00:01:06.918	00:00:00.669	
22	por que eu gosto? porque minha mãe chegou falecer mais meu pai aqui né?	00:01:08.743	00:01:13.847	00:00:05.104	
23	daí não tem como	00:01:14.269	00:01:14.946	00:00:00.677	
24	não tem porque	00:01:15.317	00:01:16.255	00:00:00.938	
25	eu sair daqui pra ir morar no norte	00:01:16.431	00:01:18.812	00:00:02.381	


	
37	e nós somos em sete	00:01:46.659	00:01:47.517	00:00:00.858	
38	daí minha mãe trouxe meus irmão tudo pequenininho de lá do norte	00:01:48.382	00:01:52.293	00:00:03.911	
39	e	00:01:53.252	00:01:53.675	00:00:00.423	
40	passava só Deus viu?	00:01:54.161	00:01:55.661	00:00:01.500	
41	uma dificuldade danada lá	00:01:55.727	00:01:58.225	00:00:02.498	
42	daí ela chegou aqui e achou bom	00:01:58.558	00:02:00.706	00:00:02.148	
43	disse que não ia voltar só	00:02:00.902	00:02:01.985	00:00:01.083	



50	porque meu marido eu morava lá graças a deus	00:02:18.908	00:02:21.916	00:00:03.008	
51	quando eu	00:02:22.604	00:02:22.878	00:00:00.274	
52	quando eu morava com ele graças a Deus nunca faltou serviço pra ele né?	00:02:23.806	00:02:28.111	00:00:04.305	
53	só que quando eu era criança mais minha mãe	00:02:28.827	00:02:31.092	00:00:02.265	
54	era difícil minha vida	00:02:31.455	00:02:33.025	00:00:01.570	


99	conheço	00:04:49.664	00:04:50.100	00:00:00.436	


142	eh pra vista desses outros bairro que é	00:07:04.530	00:07:06.768	00:00:02.238	
143	que é pequeninho né?	00:07:07.529	00:07:08.683	00:00:01.154	
144	pequenas calçadas casa	00:07:08.891	00:07:10.751	00:00:01.860	
145	e aqui o São Judas só estão fazendo o	00:07:11.097	00:07:13.443	00:00:02.346	
146	eh	00:07:14.255	00:07:14.822	00:00:00.567	
147	casarão sabe?	00:07:16.646	00:07:17.802	00:00:01.156	
148	está ficando bairro chique eu estou achando	00:07:18.665	00:07:20.587	00:00:01.922	
149	só casa	00:07:21.787	00:07:22.847	00:00:01.060	
150	grande	00:07:24.232	00:07:24.716	00:00:00.484	
151	daí o que dá valoriza o bairro	00:07:25.602	00:07:27.767	00:00:02.165	
152	é as casa né?	00:07:28.085	00:07:29.631	00:00:01.546	
153	porque se a gente faz umas casinha tudo pequeninho parece com uma favela	00:07:30.232	00:07:33.732	00:00:03.500	


170	tem não	00:08:15.262	00:08:15.739	00:00:00.477	
171	só se for nas praças	00:08:16.559	00:08:17.612	00:00:01.053

	
172	ai ai	00:08:20.880	00:08:21.678	00:00:00.798	
173	ai meu deus que vi/ bastante	00:08:26.274	00:08:28.538	00:00:02.264	
174	ah mas é briga de família mesmo	00:08:29.834	00:08:31.480	00:00:01.646	
175	mas depo/	00:08:31.810	00:08:32.350	00:00:00.540	
