V1,V4,V5
ROTEIRO,BAIRRO,S_ALCP_2016MA+_JefersonL.eaf
D1,eh só eh,S_ALCP_2016MA+_JefersonL.eaf
D1,há quanto tempo você mora aqui nesse bairro,S_ALCP_2016MA+_JefersonL.eaf
S,nesse bairro,S_ALCP_2016MA+_JefersonL.eaf
D1,isso,S_ALCP_2016MA+_JefersonL.eaf
S,aqui nesse bairro aqui tem tem o quê um ano né,S_ALCP_2016MA+_JefersonL.eaf
S,um ano e meio que eu moro aqui nesse bairro né mas eu morava lá no,S_ALCP_2016MA+_JefersonL.eaf
S,lá em cima no outro bairro né,S_ALCP_2016MA+_JefersonL.eaf
D1,e você você gosta daqui do bairro,S_ALCP_2016MA+_JefersonL.eaf
S,sim gosto sim,S_ALCP_2016MA+_JefersonL.eaf
D1,eh por que você escolheu morar aqui,S_ALCP_2016MA+_JefersonL.eaf
S,morar aqui no bairro ou aqui em,S_ALCP_2016MA+_JefersonL.eaf
D1,é,S_ALCP_2016MA+_JefersonL.eaf
S,no estado de são paulo,S_ALCP_2016MA+_JefersonL.eaf
D1,xxx,S_ALCP_2016MA+_JefersonL.eaf
D1,pode ser eh primeiro aqui depois,S_ALCP_2016MA+_JefersonL.eaf
S,xxx,S_ALCP_2016MA+_JefersonL.eaf
D1,xxx você fala,S_ALCP_2016MA+_JefersonL.eaf
S,é que a gente morava há ano a numa morava numa casa de fundo do meu sogro né,S_ALCP_2016MA+_JefersonL.eaf
S,então a gente queria vi,S_ALCP_2016MA+_JefersonL.eaf
S,arrumar um,S_ALCP_2016MA+_JefersonL.eaf
D1,uhum,S_ALCP_2016MA+_JefersonL.eaf
S,um lugar mais espaçoso então a gente veio morar pra cá,S_ALCP_2016MA+_JefersonL.eaf
D1,e você conhece os vizinhos como que era,S_ALCP_2016MA+_JefersonL.eaf
S,não não tenho muita não tenho muita amizade com a vizinhança,S_ALCP_2016MA+_JefersonL.eaf
D1,com a vizinhança aqui,S_ALCP_2016MA+_JefersonL.eaf
S,saio de manhã só chego à noite,S_ALCP_2016MA+_JefersonL.eaf
D1,ah trabalha o dia inteiro,S_ALCP_2016MA+_JefersonL.eaf
D1,eh,S_ALCP_2016MA+_JefersonL.eaf
D1,e,S_ALCP_2016MA+_JefersonL.eaf
D1,quem são as pessoas que você tem mais contato no dia a dia,S_ALCP_2016MA+_JefersonL.eaf
S,ah o só a minha esposa ou então o pe o pessoal que eu trabalho mesmo,S_ALCP_2016MA+_JefersonL.eaf
D1,uhum,S_ALCP_2016MA+_JefersonL.eaf
D1,eh,S_ALCP_2016MA+_JefersonL.eaf
D1,qual,S_ALCP_2016MA+_JefersonL.eaf
D1,você acha que é o maior problema hoje,S_ALCP_2016MA+_JefersonL.eaf
D1,aqui em sumaré,S_ALCP_2016MA+_JefersonL.eaf
D1,na cidade,S_ALCP_2016MA+_JefersonL.eaf
S,ah,S_ALCP_2016MA+_JefersonL.eaf
S,o maior problema,S_ALCP_2016MA+_JefersonL.eaf
S,em sumaré,S_ALCP_2016MA+_JefersonL.eaf
S,ah eu posso dizer assim,S_ALCP_2016MA+_JefersonL.eaf
S,pela,S_ALCP_2016MA+_JefersonL.eaf
S,trabalho né xxx,S_ALCP_2016MA+_JefersonL.eaf
S,mais trabalho eh,S_ALCP_2016MA+_JefersonL.eaf
D1,ah desemprego,S_ALCP_2016MA+_JefersonL.eaf
S,eh desemprego assim,S_ALCP_2016MA+_JefersonL.eaf
S,desemprego,S_ALCP_2016MA+_JefersonL.eaf
D1,e o,S_ALCP_2016MA+_JefersonL.eaf
D1,xxx,S_ALCP_2016MA+_JefersonL.eaf
D1,que você acha que o governo,S_ALCP_2016MA+_JefersonL.eaf
D1,e as pessoas poderiam fra fazer pra,S_ALCP_2016MA+_JefersonL.eaf
D1,melhorar isso,S_ALCP_2016MA+_JefersonL.eaf
S,ah,S_ALCP_2016MA+_JefersonL.eaf
S,acho que pra melhorar deveria,S_ALCP_2016MA+_JefersonL.eaf
S,diminuir os imposto né que eh os imposto está demais aí tem que,S_ALCP_2016MA+_JefersonL.eaf
D1,uhum,S_ALCP_2016MA+_JefersonL.eaf
D1,e,S_ALCP_2016MA+_JefersonL.eaf
D1,hoje se você pude eh você gostaria de morar em algum outro lugar,S_ALCP_2016MA+_JefersonL.eaf
S,ah sim,S_ALCP_2016MA+_JefersonL.eaf
D1,onde,S_ALCP_2016MA+_JefersonL.eaf
S,ah eu,S_ALCP_2016MA+_JefersonL.eaf
S,quando eu vim pra aqui no estado de são paulo eu sa,S_ALCP_2016MA+_JefersonL.eaf
S,meus plano era de trabalhar pra comprar uma terra pra trabalhar né,S_ALCP_2016MA+_JefersonL.eaf
S,e assim vem lutando aí,S_ALCP_2016MA+_JefersonL.eaf
S,mas eu o que eu gosto mesmo é,S_ALCP_2016MA+_JefersonL.eaf
S,lugar que tenha assim,S_ALCP_2016MA+_JefersonL.eaf
S,eh,S_ALCP_2016MA+_JefersonL.eaf
S,terra pra trabalhar coisa assim né,S_ALCP_2016MA+_JefersonL.eaf
D1,uhum,S_ALCP_2016MA+_JefersonL.eaf
S,eu não gosto muito de nada,S_ALCP_2016MA+_JefersonL.eaf
S,negócio do do da,S_ALCP_2016MA+_JefersonL.eaf
S,população assim muito aqui não,S_ALCP_2016MA+_JefersonL.eaf
S,meu negócio meu negócio é mais calmo no charco essas coisa assim em roça pra mim é melhor,S_ALCP_2016MA+_JefersonL.eaf
D1,ah sim,S_ALCP_2016MA+_JefersonL.eaf
D1,e você já morou em outros lugares antes de sumaré,S_ALCP_2016MA+_JefersonL.eaf
S,ahn,S_ALCP_2016MA+_JefersonL.eaf
S,morei em jundiaí,S_ALCP_2016MA+_JefersonL.eaf
S,foi minha primeira viagem quando vim pra cá tinha,S_ALCP_2016MA+_JefersonL.eaf
S,quinze ano,S_ALCP_2016MA+_JefersonL.eaf
S,aí eu morei um tempo lá e depois,S_ALCP_2016MA+_JefersonL.eaf
S,fiquei uns cinco mês e depois voltei pro pra alagoas,S_ALCP_2016MA+_JefersonL.eaf
D1,uhn,S_ALCP_2016MA+_JefersonL.eaf
S,terminei ficando lá um tempo e depois voltei pra cá de novo,S_ALCP_2016MA+_JefersonL.eaf
S,pra jundiaí de novo,S_ALCP_2016MA+_JefersonL.eaf
S,passei mais uns nove mês aí depois voltei pra lá de novo,S_ALCP_2016MA+_JefersonL.eaf
S,aí fiquei lá um mais uns ano aí depois eu vol foi quando eu voltei pra cá pra sumaré,S_ALCP_2016MA+_JefersonL.eaf
D1,ah sim,S_ALCP_2016MA+_JefersonL.eaf
D1,eh então você veio pra cá com quinze anos né,S_ALCP_2016MA+_JefersonL.eaf
S,quinze anos,S_ALCP_2016MA+_JefersonL.eaf
D1,e quais foram os motivos,S_ALCP_2016MA+_JefersonL.eaf
D1,por que que você veio,S_ALCP_2016MA+_JefersonL.eaf
S,ah em busca do melhor né,S_ALCP_2016MA+_JefersonL.eaf
