V1,V4,V5
ROTEIRO,LAZER,S_ALCP_2017FA+_AdrieleS.eaf
D1,e o que que você e sua família gostam de fazer assim nas horas de lazer,S_ALCP_2017FA+_AdrieleS.eaf
S,ai,S_ALCP_2017FA+_AdrieleS.eaf
S,bastante <a> coisa é,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,eles <a> gosta <p> de bastante <a> churrasco <a> e dançar e beber,S_ALCP_2017FA+_AdrieleS.eaf
S,e curtir né,S_ALCP_2017FA+_AdrieleS.eaf
S,tem que curtir a vida,S_ALCP_2017FA+_AdrieleS.eaf
D1,e você acha que campinas tem boas opções de lazer assim pra sair,S_ALCP_2017FA+_AdrieleS.eaf
S,não tem,S_ALCP_2017FA+_AdrieleS.eaf
D1,não,S_ALCP_2017FA+_AdrieleS.eaf
S,pra gente que assim,S_ALCP_2017FA+_AdrieleS.eaf
S,que tem pros <h> rico,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,porque os <a> pobre não tem,S_ALCP_2017FA+_AdrieleS.eaf
S,o lazer dos <a> pobre é sabe o quê,S_ALCP_2017FA+_AdrieleS.eaf
S,levar os <a> filho pra creche,S_ALCP_2017FA+_AdrieleS.eaf
S,e pra os <a> postinho <p>,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,porque eu não saio pra canto nenhum,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,ah o que eu saio assim de vez <a> em quando pra casa das <a> minhas <a> irmã,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,ou de vez <a> em quando ir pro mercado fazer compra e vim pra casa só isso,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,é o lazer por isso que eu falei se eu,S_ALCP_2017FA+_AdrieleS.eaf
S,ganhasse na mega sena eu ia é curtir minha vida porque eu não estou <e> curtindo nada,S_ALCP_2017FA+_AdrieleS.eaf
D1,ia viajar bastante,S_ALCP_2017FA+_AdrieleS.eaf
S,bastante <a> filha ia pro norte uma vez <h> no ano,S_ALCP_2017FA+_AdrieleS.eaf
S,ia deixar um pouco de dinheiro pra correr juro né loura,S_ALCP_2017FA+_AdrieleS.eaf
D1,e quais são os seus amigos assim mais antigos eles são daqui ou são de lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ah os <a> antigos <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,é de lá né,S_ALCP_2017FA+_AdrieleS.eaf
D1,tudo de lá,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,eles estão lá ainda também,S_ALCP_2017FA+_AdrieleS.eaf
S,estão <e> lá,S_ALCP_2017FA+_AdrieleS.eaf
D1,e você ainda mantém contato com eles ou não,S_ALCP_2017FA+_AdrieleS.eaf
S,bastante <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,tem uma colega minha que é mesmo <a> que ser minha irmã,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,que legal você pelo whatsapp assim,S_ALCP_2017FA+_AdrieleS.eaf
S,pelo whatsapp pelo face né,S_ALCP_2017FA+_AdrieleS.eaf
D1,pelo telefone,S_ALCP_2017FA+_AdrieleS.eaf
D1,sempre em contato então,S_ALCP_2017FA+_AdrieleS.eaf
S,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,ah ela fala mesmo <0> assim,S_ALCP_2017FA+_AdrieleS.eaf
S,das <a> colega dela,S_ALCP_2017FA+_AdrieleS.eaf
S,eu tenho uma irmã lá em são paulo que eu,S_ALCP_2017FA+_AdrieleS.eaf
S,por causa que olha,S_ALCP_2017FA+_AdrieleS.eaf
S,ela sempre,S_ALCP_2017FA+_AdrieleS.eaf
S,na hora que eu precisava ela estava <e> me ajudando e na hora que eu,S_ALCP_2017FA+_AdrieleS.eaf
S,que,S_ALCP_2017FA+_AdrieleS.eaf
S,ela precisava de eu eu estava <e> ajudando ela sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,amigo é assim na hora da precisão,S_ALCP_2017FA+_AdrieleS.eaf
S,ela se operou,S_ALCP_2017FA+_AdrieleS.eaf
S,eu que fiquei tomando de conta dela,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,tudo sabe,S_ALCP_2017FA+_AdrieleS.eaf
S,daí nós <a> considera como amiga porque amiga é pra ajudar umas <a> as <a> outra,S_ALCP_2017FA+_AdrieleS.eaf
S,não é na hora que a gente está <e> farreando,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,é na ho a gente vê na hora da doença,S_ALCP_2017FA+_AdrieleS.eaf
S,que tem amiga,S_ALCP_2017FA+_AdrieleS.eaf
D1,da necessidade né,S_ALCP_2017FA+_AdrieleS.eaf
S,isso,S_ALCP_2017FA+_AdrieleS.eaf
D1,que a gente precisa de ajuda,S_ALCP_2017FA+_AdrieleS.eaf
S,de ajuda não é na hora que a gente está <e> bem,S_ALCP_2017FA+_AdrieleS.eaf
S,sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,é na hora da precisão,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
D1,está certo,S_ALCP_2017FA+_AdrieleS.eaf
D1,e você costuma viajar,S_ALCP_2017FA+_AdrieleS.eaf
D1,você falou que você não sai muito de casa mas,S_ALCP_2017FA+_AdrieleS.eaf
S,não vo não,S_ALCP_2017FA+_AdrieleS.eaf
D1,você não viaja assim uma vez no ano uma vez a cada dois anos,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,não teve um,S_ALCP_2017FA+_AdrieleS.eaf
S,um an teve um ano que eu viajei mas <a> pra resolver um negócio lá em,S_ALCP_2017FA+_AdrieleS.eaf
S,em união sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
D1,união é aonde,S_ALCP_2017FA+_AdrieleS.eaf
S,alagoas <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,em alagoas mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas assim você nunca foi pra outro estado além de são paulo e,S_ALCP_2017FA+_AdrieleS.eaf
S,pra santos <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,foi mas você foi passear,S_ALCP_2017FA+_AdrieleS.eaf
S,fui pra praia,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah que gostoso,S_ALCP_2017FA+_AdrieleS.eaf
ROTEIRO,LAZER,S_ALCP_2017FB-_LucimaraF.eaf
S,na hora de lazer nós <h> não faz <a> é nada aqui que ele trabalha de domingo a domingo,S_ALCP_2017FB-_LucimaraF.eaf
