V1,V4,V5
ROTEIRO,TRABALHO,S_ALCP_2017FA+_AdrieleS.eaf
D1,bom você falou que você está atualmente você está em casa,S_ALCP_2017FA+_AdrieleS.eaf
D1,você trabalhava e era aqui perto né na na empresa que pegou pegou fogo,S_ALCP_2017FA+_AdrieleS.eaf
S,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,no ipaussurama,S_ALCP_2017FA+_AdrieleS.eaf
D1,e como que você fazia pra chegar pro seu trabalho,S_ALCP_2017FA+_AdrieleS.eaf
S,de busão,S_ALCP_2017FA+_AdrieleS.eaf
D1,de ônibus mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,tinha hora que eu ia de pé pra eu ir caminhando um pouco,S_ALCP_2017FA+_AdrieleS.eaf
D1,era muito longe,S_ALCP_2017FA+_AdrieleS.eaf
S,era,S_ALCP_2017FA+_AdrieleS.eaf
S,era uma hora,S_ALCP_2017FA+_AdrieleS.eaf
D1,nossa,S_ALCP_2017FA+_AdrieleS.eaf
D1,nossa,S_ALCP_2017FA+_AdrieleS.eaf
S,passava no parque das <a> flores <a> ali olha,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,e ia de pé vinha de pé,S_ALCP_2017FA+_AdrieleS.eaf
S,estava <e> até magra agora fiquei em casa estou <e>,S_ALCP_2017FA+_AdrieleS.eaf
S,engordei um pouco,S_ALCP_2017FA+_AdrieleS.eaf
D1,e o que que você fazia lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ah eu olha nem sei o que eu fazia,S_ALCP_2017FA+_AdrieleS.eaf
S,porque botava eu pra trabalhar por isso que eu go,S_ALCP_2017FA+_AdrieleS.eaf
S,eu assim pe eu pedi pra eles <a> me mandar embora que eu não estava <e> gostando <a> do,S_ALCP_2017FA+_AdrieleS.eaf
S,do serviço,S_ALCP_2017FA+_AdrieleS.eaf
S,por causa que ele,S_ALCP_2017FA+_AdrieleS.eaf
S,eles <a> pôs <a> eu pra cozinhar,S_ALCP_2017FA+_AdrieleS.eaf
S,pra limpar a fábrica,S_ALCP_2017FA+_AdrieleS.eaf
S,encher travesseiro,S_ALCP_2017FA+_AdrieleS.eaf
S,quando precisavam,S_ALCP_2017FA+_AdrieleS.eaf
S,eu era,S_ALCP_2017FA+_AdrieleS.eaf
S,fazia de tudo lá,S_ALCP_2017FA+_AdrieleS.eaf
S,não sei o que,S_ALCP_2017FA+_AdrieleS.eaf
S,o que eu era dali daquela empresa,S_ALCP_2017FA+_AdrieleS.eaf
S,daí,S_ALCP_2017FA+_AdrieleS.eaf
S,assim eu pedi pra eles <a> me mandarem embora eles <a> não mandaram,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,daí aconteceu,S_ALCP_2017FA+_AdrieleS.eaf
S,que,S_ALCP_2017FA+_AdrieleS.eaf
S,queimou eu não queria sair desse jeito sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,que eu fi passei até uns <a> dia meia,S_ALCP_2017FA+_AdrieleS.eaf
S,meia doente por causa que queimou a empresa,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,que eu não queria que acontecesse isso,S_ALCP_2017FA+_AdrieleS.eaf
S,eu queria que,S_ALCP_2017FA+_AdrieleS.eaf
S,eu saísse de lá todo mundo ficasse trabalhando,S_ALCP_2017FA+_AdrieleS.eaf
S,ficou muita gente desempregada,S_ALCP_2017FA+_AdrieleS.eaf
S,cinquenta e po e pouca pessoa,S_ALCP_2017FA+_AdrieleS.eaf
S,ficou desempregada eu não queria isso sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,queria sair,S_ALCP_2017FA+_AdrieleS.eaf
S,a receber meus <a>  direito tudo que,S_ALCP_2017FA+_AdrieleS.eaf
D1,sim claro,S_ALCP_2017FA+_AdrieleS.eaf
S,meus <a> direito está <e> na mão no ah do advogado ainda,S_ALCP_2017FA+_AdrieleS.eaf
S,daí estão <e>,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas aconteceu essa fatalidade né,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,que eu não queria mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,fiquei,S_ALCP_2017FA+_AdrieleS.eaf
S,muito triste <p>,S_ALCP_2017FA+_AdrieleS.eaf
D1,e lá então você não estava gostando do seu trabalho,S_ALCP_2017FA+_AdrieleS.eaf
S,eu não estava <e> gostando <a> mas <0> do meu patrão da minha patroa eu gostava <a> sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,é tão tal que ela sentiu tanta saudade que ela veio aqui,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,pra visitar,S_ALCP_2017FA+_AdrieleS.eaf
D1,que olha que legal,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,daí ela veio aqui daí ela falou que um dia vem aí,S_ALCP_2017FA+_AdrieleS.eaf
S,numa galinhada,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas lá você queria alcançar algum outro cargo,S_ALCP_2017FA+_AdrieleS.eaf
D1,ou queria sair de lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ai eu queria sair mesmo <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,queria mais ficar lá de jeito nenhum,S_ALCP_2017FA+_AdrieleS.eaf
S,ai eu já estava <e>,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,não queria,S_ALCP_2017FA+_AdrieleS.eaf
S,mesmo <a> de verdade não queria,S_ALCP_2017FA+_AdrieleS.eaf
D1,e,S_ALCP_2017FA+_AdrieleS.eaf
D1,qual que seria assim a profissão dos seus sonhos,S_ALCP_2017FA+_AdrieleS.eaf
S,ah eu queria uma profissão boa né mas <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,não tem como né porque eu não sei ler,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,eu se,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas nunca teve uma coisa que você falou assim ai eu queria ser isso,S_ALCP_2017FA+_AdrieleS.eaf
D1,quando você era criança você falava eu queria tanto ser,S_ALCP_2017FA+_AdrieleS.eaf
S,ai eu,S_ALCP_2017FA+_AdrieleS.eaf
S,assim eu queria,S_ALCP_2017FA+_AdrieleS.eaf
S,assim ser,S_ALCP_2017FA+_AdrieleS.eaf
S,ter uma,S_ALCP_2017FA+_AdrieleS.eaf
S,empresa pré assim sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,um,S_ALCP_2017FA+_AdrieleS.eaf
S,sem ser bar que eu não gosto <p> de encher o,S_ALCP_2017FA+_AdrieleS.eaf
S,toca aquele bar eu não toco meu esposo <a> toca que eu não gosto <p> de bar eu odeio bar,S_ALCP_2017FA+_AdrieleS.eaf
