TRILHA,ANOTACAO,ARQUIVO
### Arquivo: S_ALCP_2016MA+_JefersonL.eaf,,
--- Trecho ---,,
D1,há quanto tempo você mora aqui nesse bairro,S_ALCP_2016MA+_JefersonL.eaf
S,nesse bairro,S_ALCP_2016MA+_JefersonL.eaf
D1,isso,S_ALCP_2016MA+_JefersonL.eaf
S,aqui nesse bairro aqui tem tem o quê um ano né,S_ALCP_2016MA+_JefersonL.eaf
S,um ano e meio que eu moro aqui nesse bairro né mas eu morava lá no,S_ALCP_2016MA+_JefersonL.eaf
S,lá em cima no outro bairro né,S_ALCP_2016MA+_JefersonL.eaf
D1,e você você gosta daqui do bairro,S_ALCP_2016MA+_JefersonL.eaf
S,sim gosto sim,S_ALCP_2016MA+_JefersonL.eaf
D1,e você você gosta daqui do bairro,S_ALCP_2016MA+_JefersonL.eaf
S,sim gosto sim,S_ALCP_2016MA+_JefersonL.eaf
D1,eh por que você escolheu morar aqui,S_ALCP_2016MA+_JefersonL.eaf
S,é que a gente morava há ano a numa morava numa casa de fundo do meu sogro né ,S_ALCP_2016MA+_JefersonL.eaf
S,então a gente queria vi,S_ALCP_2016MA+_JefersonL.eaf
S,arrumar um,S_ALCP_2016MA+_JefersonL.eaf
D1,uhum,S_ALCP_2016MA+_JefersonL.eaf
S,um lugar mais espaçoso então a gente veio morar pra cá ,S_ALCP_2016MA+_JefersonL.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,a quanto tempo você mora aqui nesse bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,ah está com,S_ALCP_2017FA+_AdrieleS.eaf
S,uns quatro ano né,S_ALCP_2017FA+_AdrieleS.eaf
D1,e você já morou em algum outro lugar aqui da cidade,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,aqui,S_ALCP_2017FA+_AdrieleS.eaf
D1,é ou algum outro bairro,S_ALCP_2017FA+_AdrieleS.eaf
D1,ou algum outro,S_ALCP_2017FA+_AdrieleS.eaf
S,lá perto do hospital ouro verde,S_ALCP_2017FA+_AdrieleS.eaf
D1,no bairro ouro verde mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,isso na chácara,S_ALCP_2017FA+_AdrieleS.eaf
D1,quanto tempo que você morou lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ai eh uns quinze,S_ALCP_2017FA+_AdrieleS.eaf
D1,quinze anos,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,no bairro ouro verde mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,isso na chácara,S_ALCP_2017FA+_AdrieleS.eaf
D1,quanto tempo que você morou lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ai eh uns quinze,S_ALCP_2017FA+_AdrieleS.eaf
D1,quinze anos,S_ALCP_2017FA+_AdrieleS.eaf
D1,e antes disso você chegou a morar em alguma outra cidade aqui perto,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
D1,você veio direto,S_ALCP_2017FA+_AdrieleS.eaf
D1,da de alagoas,S_ALCP_2017FA+_AdrieleS.eaf
S,vim morar com a minha mãe,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,quando qua quantos anos você saiu de alagoas,S_ALCP_2017FA+_AdrieleS.eaf
S,quantos anos,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,e você gosta de morar aqui nesse bairro de campinas,S_ALCP_2017FA+_AdrieleS.eaf
S,ai,S_ALCP_2017FA+_AdrieleS.eaf
D1,nessa região,S_ALCP_2017FA+_AdrieleS.eaf
S,eu amo,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,por que é que você gosta,S_ALCP_2017FA+_AdrieleS.eaf
S,por que eu gosto porque minha mãe chegou falecer mais meu pai aqui né,S_ALCP_2017FA+_AdrieleS.eaf
S,daí não tem como,S_ALCP_2017FA+_AdrieleS.eaf
S,não tem porque,S_ALCP_2017FA+_AdrieleS.eaf
S,eu sair daqui pra ir morar no norte,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas você veio por causa do seu marido,S_ALCP_2017FA+_AdrieleS.eaf
S,ah eu vim mais,S_ALCP_2017FA+_AdrieleS.eaf
S,não meu marido não eu morava lá com meu marido né,S_ALCP_2017FA+_AdrieleS.eaf
S,daí meu pai foi umas três,S_ALCP_2017FA+_AdrieleS.eaf
S,três vez no ano,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,de quando você mudou pra cá você notou alguma diferença do bairro hoje,S_ALCP_2017FA+_AdrieleS.eaf
D1,do que do que ele era antes assim de quando você mudou,S_ALCP_2017FA+_AdrieleS.eaf
S,pra aqui,S_ALCP_2017FA+_AdrieleS.eaf
D1,isso,S_ALCP_2017FA+_AdrieleS.eaf
S,bastante,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,que é que mudou assim,S_ALCP_2017FA+_AdrieleS.eaf
S,ai mudou tanta coisa porque quando eu vim pra esse bairro aqui era de terra,S_ALCP_2017FA+_AdrieleS.eaf
