ARQUIVO,TRILHA,OCORRENCIA
S_ALCP_2017FA+_AdrieleS.eaf,D1,no serviço de casa
S_ALCP_2017FA+_AdrieleS.eaf,S,uma esperava  pela outra
S_ALCP_2017FA+_AdrieleS.eaf,S,não vai fulano vai siclano
S_ALCP_2017FA+_AdrieleS.eaf,S,no final ficava a minha mãe
S_ALCP_2017FA+_AdrieleS.eaf,S,para as  coisa
S_ALCP_2017FA+_AdrieleS.eaf,D1,mas vocês ajudavam ela
S_ALCP_2017FA+_AdrieleS.eaf,S,ah eu ajudava sabe porque
S_ALCP_2017FA+_AdrieleS.eaf,S,quando o meu pai veio pra cá
S_ALCP_2017FA+_AdrieleS.eaf,S,meu pai
S_ALCP_2017FA+_AdrieleS.eaf,S,sempre foi
S_ALCP_2017FA+_AdrieleS.eaf,S,gostava  de
S_ALCP_2017FA+_AdrieleS.eaf,S,mulher
S_ALCP_2017FA+_AdrieleS.eaf,S,fora né
S_ALCP_2017FA+_AdrieleS.eaf,S,daí
S_ALCP_2017FA+_AdrieleS.eaf,S,nós  o meu pai veio pra cá
S_ALCP_2017FA+_AdrieleS.eaf,S,pra
S_ALCP_2017FA+_AdrieleS.eaf,D1,e como que você fazia pra chegar pro seu trabalho
S_ALCP_2017FA+_AdrieleS.eaf,S,de busão
S_ALCP_2017FA+_AdrieleS.eaf,D1,de ônibus mesmo
S_ALCP_2017FA+_AdrieleS.eaf,S,tinha hora que eu ia de pé pra eu ir caminhando um pouco
S_ALCP_2017FA+_AdrieleS.eaf,D1,era muito longe
S_ALCP_2017FA+_AdrieleS.eaf,S,era
S_ALCP_2017FA+_AdrieleS.eaf,S,era uma hora
S_ALCP_2017FA+_AdrieleS.eaf,D1,nossa
S_ALCP_2017FA+_AdrieleS.eaf,D1,nossa
S_ALCP_2017FA+_AdrieleS.eaf,S,passava no parque das  flores  ali olha
S_ALCP_2017FA+_AdrieleS.eaf,D1,aham
S_ALCP_2017FA+_AdrieleS.eaf,S,e ia de pé vinha de pé
S_ALCP_2017FA+_AdrieleS.eaf,S,estava  até magra agora fiquei em casa estou 
S_ALCP_2017FA+_AdrieleS.eaf,S,engordei um pouco
S_ALCP_2017FA+_AdrieleS.eaf,D1,e o que que você fazia lá
S_ALCP_2017FA+_AdrieleS.eaf,S,ah eu olha nem sei o que eu fazia
S_ALCP_2017FA+_AdrieleS.eaf,D1,e lá então você não estava gostando do seu trabalho
S_ALCP_2017FA+_AdrieleS.eaf,S,eu não estava  gostando  mas  do meu patrão da minha patroa eu gostava  sabe
S_ALCP_2017FA+_AdrieleS.eaf,D1,uhum
S_ALCP_2017FA+_AdrieleS.eaf,S,é tão tal que ela sentiu tanta saudade que ela veio aqui
S_ALCP_2017FA+_AdrieleS.eaf,D1,é
S_ALCP_2017FA+_AdrieleS.eaf,S,pra visitar
S_ALCP_2017FA+_AdrieleS.eaf,D1,que olha que legal
S_ALCP_2017FA+_AdrieleS.eaf,S,é
S_ALCP_2017FA+_AdrieleS.eaf,S,daí ela veio aqui daí ela falou que um dia vem aí
S_ALCP_2017FA+_AdrieleS.eaf,S,numa galinhada
S_ALCP_2017FA+_AdrieleS.eaf,D1,mas lá você queria alcançar algum outro cargo
S_ALCP_2017FA+_AdrieleS.eaf,D1,ou queria sair de lá
S_ALCP_2017FA+_AdrieleS.eaf,S,ai eu queria sair mesmo 
S_ALCP_2017FA+_AdrieleS.eaf,D1,queria mais ficar lá de jeito nenhum
S_ALCP_2017FA+_AdrieleS.eaf,S,ai eu já estava 
S_ALCP_2017FA+_AdrieleS.eaf,S,não
